id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url,video
1106131295195795458,1106131295195795458,1552557226000,2019-03-14,10:53:46,CET,773049843644268544,kuhljean,Jean Kuhl 🎗,,#GiletsJaunes #GiletJaune #GiletJaunes #gilets_jaunes #giletsjaunesLyon #GiletsJaunesParis #giletsjaunes974 #Drouet #Acte18 #ActeXVIII #acte19 #acteXIX #acte20 #acteXX #16mars #23mars #30mars #oncontinue #GreveGenerale #taxes #Retraites #CSG #crise #MacronDemission #findumois https://twitter.com/infirmierei/status/1106126354779721733 …,,['https://twitter.com/infirmierei/status/1106126354779721733'],[],0,0,0,,"['#giletsjaunes', '#giletjaune', '#giletjaunes', '#gilets_jaunes', '#giletsjauneslyon', '#giletsjaunesparis', '#giletsjaunes974', '#drouet', '#acte18', '#actexviii', '#acte19', '#actexix', '#acte20', '#actexx', '#16mars', '#23mars', '#30mars', '#oncontinue', '#grevegenerale', '#taxes', '#retraites', '#csg', '#crise', '#macrondemission', '#findumois']",https://twitter.com/KuhlJean/status/1106131295195795458,,https://twitter.com/InfirmiereI/status/1106126354779721733,0
1105816829367328768,1105797004024778753,1552482251000,2019-03-13,14:04:11,CET,324564613,eric_claxon,Eric Claxon ©,,Et alors !! Vous n'avez rien compris à la politique Monsieur @StanGuerini en clair suggère si les #Giletsjaunes entament un #Acte19 c'est 2 jours de salaires qui leur seront ponctionné! Ce n'est pas un foutage de gueule c'est leur foutre sur la gueule gratuitement ...Nuance  pic.twitter.com/83maFqSQU4,"['hogwxrts', 'stanguerini']",[],['https://pbs.twimg.com/media/D1imVLRW0AIOjxV.jpg'],0,1,0,,"['#giletsjaunes', '#acte19']",https://twitter.com/Eric_Claxon/status/1105816829367328768,,,0
1105496261598347264,1105496261598347264,1552405822000,2019-03-12,16:50:22,CET,120865840,elisa6666,Élisabeth #Acte17 StopViolencesPolicieres,,@BGriveaux Tu as un message 👇 #Acte18 #acte19 #acte20 ... #16Mars #GiletsJaunes #stopviolencespolicieres https://twitter.com/davduf/status/1105474282258350080 …,['bgriveaux'],['https://twitter.com/davduf/status/1105474282258350080'],[],0,1,0,,"['#acte18', '#acte19', '#acte20', '#16mars', '#giletsjaunes', '#stopviolencespolicieres']",https://twitter.com/Elisa6666/status/1105496261598347264,,https://twitter.com/davduf/status/1105474282258350080,0
1105257057563959297,1105257057563959297,1552348791000,2019-03-12,00:59:51,CET,2455837951,frankel89666762,Durand,,#acte19 MEDITATION STROMBOLIENNE  https://twitter.com/AQuatennens/status/1105217133913485314 …,,['https://twitter.com/AQuatennens/status/1105217133913485314'],[],0,0,0,,['#acte19'],https://twitter.com/Frankel89666762/status/1105257057563959297,,https://twitter.com/AQuatennens/status/1105217133913485314,0
1105237457254207489,1105237457254207489,1552344118000,2019-03-11,23:41:58,CET,2455837951,frankel89666762,Durand,,"L'IMAGINATION DE CE GARCON L'A MENE A L'ELYSEE COMME ELLE L'AMENERA A COMMETTRE LE PIRE ,CELA ETANT PRESQUE FAIT ,L'IRREPARABLE QUE NOUS ATTENDONS #acte19  https://twitter.com/GaetanEscorbiac/status/1105234714791682048 …",,['https://twitter.com/GaetanEscorbiac/status/1105234714791682048'],[],0,0,0,,['#acte19'],https://twitter.com/Frankel89666762/status/1105237457254207489,,https://twitter.com/GaetanEscorbiac/status/1105234714791682048,0
1105078117058646016,1101621728713850880,1552306129000,2019-03-11,13:08:49,CET,249401017,wwrevolution,WorldWideRevolution,,Il n'y a rien de mal avec le capitalisme et le globalisme. Mais ce que nous avons est un mélange qui devient l'esclavage #Acte19 #Acte18 #Acte20 #ActeXVIII #ActeXIX #ActeXX #Act17 #Act18 #ActXVIII #ActXIX #ActXX #YellowVests #GiletJaune #YellowVest pic.twitter.com/zaSET7J95G,,[],[],0,1,0,,"['#acte19', '#acte18', '#acte20', '#actexviii', '#actexix', '#actexx', '#act17', '#act18', '#actxviii', '#actxix', '#actxx', '#yellowvests', '#giletjaune', '#yellowvest']",https://twitter.com/WWRevolution/status/1105078117058646016,,,1
1105024417850183680,1105005358890827777,1552293326000,2019-03-11,09:35:26,CET,910174387323768832,bobodi5,Bobodi,,Une belle bande de traitres. Recouvrez moi tout ces abrutis de merde. #acte18 #acte19 #acte20 #GiletsJaunes #macron,"['qmike5491', 'sandrafellous_']",[],[],0,0,0,,"['#acte18', '#acte19', '#acte20', '#giletsjaunes', '#macron']",https://twitter.com/Bobodi5/status/1105024417850183680,,,0
1104936684184129536,1104404336212430854,1552272408000,2019-03-11,03:46:48,CET,249401017,wwrevolution,WorldWideRevolution,,"Bientôt, il n'y aura plus qu'un seul pays sur la terre.  #GiletJaune #GiletsJaunes #JeSuisUnGiletJaune #Macron #Poll #Sondage #Acte19 #Acte18 #ActeXIX #ActeXVIII #Act18 #ActXVIII #YellowVests #YellowVest #GiletsJaunesParis #VivaLaFrance #RIC #JoinTheMovement #GILETS_JAUNES",,[],[],1,4,0,,"['#giletjaune', '#giletsjaunes', '#jesuisungiletjaune', '#macron', '#poll', '#sondage', '#acte19', '#acte18', '#actexix', '#actexviii', '#act18', '#actxviii', '#yellowvests', '#yellowvest', '#giletsjaunesparis', '#vivalafrance', '#ric', '#jointhemovement', '#gilets_jaunes']",https://twitter.com/WWRevolution/status/1104936684184129536,,,0
1104900559860056064,1104900559860056064,1552263796000,2019-03-11,01:23:16,CET,299743988,myriame630,Myriame la patriote.,,#Acte19 #TousàParis #Parisestanous #GiletsJaunes  https://www.facebook.com/events/294523747909404/ … GILETS JAUNES NON A LA HAUSSE DES PRIX ! pic.twitter.com/1BGQgHayii,,['https://www.facebook.com/events/294523747909404/'],['https://pbs.twimg.com/media/D1VkzzQWsAAouo2.png'],0,0,1,,"['#acte19', '#tousàparis', '#parisestanous', '#giletsjaunes']",https://twitter.com/Myriame630/status/1104900559860056064,,,0
1104868060358426624,1104868060358426624,1552256047000,2019-03-10,23:14:07,CET,120865840,elisa6666,Élisabeth #Acte17 StopViolencesPolicieres,,"Loi ""anticasseurs"" : retour gagnant au Sénat, vers une adoption définitive - Sud  http://Ouest.fr   https://www.sudouest.fr/2019/03/10/loi-anticasseurs-retour-gagnant-au-senat-vers-une-adoption-definitive-5885343-710.php … #16mars #PARIS #GiletsJaunes #ActeXVIII #act18 #Acte18 #acte19 #acte20 #politique 💩🖕L fachos en marche #LFEM 💩🖕#MacronCoupableDuPire #onlacherien",,"['http://Ouest.fr', 'https://www.sudouest.fr/2019/03/10/loi-anticasseurs-retour-gagnant-au-senat-vers-une-adoption-definitive-5885343-710.php']",[],0,0,0,,"['#16mars', '#paris', '#giletsjaunes', '#actexviii', '#act18', '#acte18', '#acte19', '#acte20', '#politique', '#lfem', '#macroncoupabledupire', '#onlacherien']",https://twitter.com/Elisa6666/status/1104868060358426624,,,0
