id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url,video
1104502891723796480,1104502891723796480,1552168984000,2019-03-09,23:03:04,CET,730391398231506945,graffymany,Graffy Many,,"🌍PARIS .. Champs Elysées .. #Acte17 .. vers 19h30   Blocage Complet .. IMPOSSIBLE d' ENTRER dans l'avenue .. ni d'en SORTIR ..! Double Fiiltrage ..!? Nombre #FO .. ? conséquent ..   #GiletsJaunes & Manifestants .. "" Nassés "" .. !!? 🤔 🗼#Le16TousAParis 🗼#Acte18 #YellowVests pic.twitter.com/D4HDhwLcBI",,[],[],0,1,1,,"['#acte17', '#fo', '#giletsjaunes', '#le16tousaparis', '#acte18', '#yellowvests']",https://twitter.com/GraffyMany/status/1104502891723796480,,,1
1104502782709694470,1104502782709694470,1552168958000,2019-03-09,23:02:38,CET,2273573185,ad_lr,Aن delaRochère ☨🇫🇷,,« L'Union européenne coûte chaque année 9 milliards à la France. » #ActeXVII #Acte17 #GiletsJaunes #Frexit #Européennes2019 @CNEWS pic.twitter.com/ugusCEmmAD,['cnews'],[],['https://pbs.twimg.com/media/D1P7aHpXQAAsPSY.jpg'],0,11,15,,"['#actexvii', '#acte17', '#giletsjaunes', '#frexit', '#européennes2019']",https://twitter.com/AD_LR/status/1104502782709694470,,,0
1104502135323049984,1104502135323049984,1552168804000,2019-03-09,23:00:04,CET,1070375327740899333,1_jaunes,Gladiator,,💥 📽️#GiletsJaunes #Quimper #Acte17 : un manifestant molesté et brutalisé par les policiers😥 💥Partagez en masse. #YellowVests #France #ActeXVII #Alger #Macron #8Mars #weekend #Le16TousAParis #Paris #Trump #London #Espana #Algerie_manifestation #Algerie  Le Générale👇👇 https://twitter.com/leGneral2/status/1104501237133791236 …,,['https://twitter.com/leGneral2/status/1104501237133791236'],[],1,13,7,,"['#giletsjaunes', '#quimper', '#acte17', '#yellowvests', '#france', '#actexvii', '#alger', '#macron', '#8mars', '#weekend', '#le16tousaparis', '#paris', '#trump', '#london', '#espana', '#algerie_manifestation', '#algerie']",https://twitter.com/1_jaunes/status/1104502135323049984,,https://twitter.com/leGneral2/status/1104501237133791236,0
1104502009154203649,1104502009154203649,1552168774000,2019-03-09,22:59:34,CET,988084087817736193,julieta_pedrosa,Julieta Rossi Pedrosa,,In #socialist #France #YellowVests #GiletsJaunes protesters hit #Paris and other French cities for the 17th week in a row. #9Mar #Acte17  pic.twitter.com/kGWafNBV7m,,[],[],0,3,1,,"['#socialist', '#france', '#yellowvests', '#giletsjaunes', '#paris', '#9mar', '#acte17']",https://twitter.com/julieta_pedrosa/status/1104502009154203649,,,1
1104501983115952134,1104501983115952134,1552168768000,2019-03-09,22:59:28,CET,2273573185,ad_lr,Aن delaRochère ☨🇫🇷,,"« Au Royaume-Uni, le chômage connaît un record à la baisse et les salaires sont en hausse. De même pour les exportations : elles augmentent. J'aimerais pareil pour la France. » #Frexit #Brexit #ActeXVII #Acte17 #GiletsJaunes #Européennes2019 @CNEWS pic.twitter.com/xiAQebNkoW",['cnews'],[],['https://pbs.twimg.com/media/D1P6rSOW0AA_dpH.jpg'],2,12,23,,"['#frexit', '#brexit', '#actexvii', '#acte17', '#giletsjaunes', '#européennes2019']",https://twitter.com/AD_LR/status/1104501983115952134,,,0
1104501964774219782,1104501964774219782,1552168763000,2019-03-09,22:59:23,CET,2490586718,jlb75004,JLB,,"Pour mémoire les ""journalistes"" de @BFMTV @CNEWS @LCI @franceinfo Mais ça.... ? On ne savait pas !!!  #GiletsJaunes #revendications #ActeXVII #bétisehumaine #Presse #Medias #Société #acte17  Liste des 42 revendications des gilets jaunes via @Mediapart https://blogs.mediapart.fr/jeremiechayet/blog/021218/liste-des-42-revendications-des-gilets-jaunes?utm_source=twitter&utm_medium=social&utm_campaign=Sharing&xtor=CS3-67 …","['bfmtv', 'cnews', 'lci', 'franceinfo', 'mediapart']",['https://blogs.mediapart.fr/jeremiechayet/blog/021218/liste-des-42-revendications-des-gilets-jaunes?utm_source=twitter&utm_medium=social&utm_campaign=Sharing&xtor=CS3-67'],[],0,2,2,,"['#giletsjaunes', '#revendications', '#actexvii', '#bétisehumaine', '#presse', '#medias', '#société', '#acte17']",https://twitter.com/JLB75004/status/1104501964774219782,,,0
1104501817587712000,1104501817587712000,1552168728000,2019-03-09,22:58:48,CET,259835975,alfredbruszewsk,alfred bruszewski,,"Laurence, Gilet jaune: #GiletsJaunes #ActeXVII #Acte17 #Paris ⚡️ EN CONTINU : ➡️  https://francais.rt.com/france/59815-acte-17-mobilisation-gilets-jaunes-continu … … https://twitter.com/RTenfrancais/status/1104494609319759874 …",,"['https://francais.rt.com/france/59815-acte-17-mobilisation-gilets-jaunes-continu', 'https://twitter.com/RTenfrancais/status/1104494609319759874']",[],0,1,1,,"['#giletsjaunes', '#actexvii', '#acte17', '#paris']",https://twitter.com/alfredbruszewsk/status/1104501817587712000,,https://twitter.com/RTenfrancais/status/1104494609319759874,0
1104501427060256768,1104501427060256768,1552168635000,2019-03-09,22:57:15,CET,1098681772848623617,_superresistant,Super Résistant,,270 #GiletsJaunes dans une ville de 150000 habitants... A peine 30000 dans un pays de 67 millions d’habitants...  Ils savent qu’ils continuent à se ridiculiser ou pas??? 🙄🙄🙄 #ActeXVII #Acte17 #Giletsjaunes https://twitter.com/courrierouest/status/1104391457727803392 …,,['https://twitter.com/courrierouest/status/1104391457727803392'],[],1,2,2,,"['#giletsjaunes', '#actexvii', '#acte17', '#giletsjaunes']",https://twitter.com/_SuperResistant/status/1104501427060256768,,https://twitter.com/courrierouest/status/1104391457727803392,0
1104501237133791236,1104501237133791236,1552168590000,2019-03-09,22:56:30,CET,1071436971191492609,legneral2,Le Général,,💥 📽️🇫🇷HONTEUX! #GiletsJaunes #QUIMPER #Acte17 : un #giletjaune molesté par des #policiers 😢 des coups de matraque sur ses mains + étranglement ! quelle honte!😖 💥A Diffuser en masse SVP Dénoncez🙏 #YellowVests #France #ActeXVII #Macron #8Mars #Le16TousAParis #Paris #Algerie pic.twitter.com/BuHZjJ2ZHf,,[],[],933,6803,3601,,"['#giletsjaunes', '#quimper', '#acte17', '#giletjaune', '#policiers', '#yellowvests', '#france', '#actexvii', '#macron', '#8mars', '#le16tousaparis', '#paris', '#algerie']",https://twitter.com/leGneral2/status/1104501237133791236,,,1
1104501143688957952,1104501143688957952,1552168567000,2019-03-09,22:56:07,CET,1014933668450750464,giletsjaunesgo,Gilets Jaunes Paris #Acte18✊ #Le16TousAParis,,🔴 Tarbes [65] - #ActeXVII  Les Gilets Jaunes de #Tarbes poursuivent l’Acte 17 en nocturne. Les forces de l’ordre sont sur place et devraient prochainement nasser les manifestants encore présents. 📹 [Live] :  https://www.facebook.com/BountyStyle/videos/563865594106729/ … #GiletsJaunes #Acte17 #9Mars2019 pic.twitter.com/rHXxJqIuvZ,,['https://www.facebook.com/BountyStyle/videos/563865594106729/'],[],8,231,226,,"['#actexvii', '#tarbes', '#giletsjaunes', '#acte17', '#9mars2019']",https://twitter.com/GiletsJaunesGo/status/1104501143688957952,,,1
